,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dingle,86,PH,1586981271,75,11.0,122.67,77.4,5.64
1,Port Hedland,98,AU,1586981272,88,-20.32,118.57,78.8,5.82
2,Saskylakh,98,RU,1586981273,90,71.92,114.08,-6.32,5.82
3,Chu,93,KZ,1586981274,50,43.6,73.76,44.31,6.46
4,Avarua,92,CK,1586981275,69,-21.21,-159.78,80.6,4.7
5,Salinópolis,87,BR,1586981276,79,-0.61,-47.36,80.19,4.41
6,Nikolskoye,36,RU,1586981277,98,59.7,30.79,32.0,6.71
7,Butaritari,96,KI,1586981279,81,3.07,172.79,82.9,17.9
8,Kapaa,40,US,1586981280,78,22.08,-159.32,78.8,11.41
9,Punta Arenas,91,CL,1586981273,50,-53.15,-70.92,57.2,2.24
10,Tiznit Province,100,MA,1586981282,63,29.58,-9.5,60.67,4.27
11,Cape Town,40,ZA,1586981046,67,-33.93,18.42,62.6,3.36
12,Bengkulu,86,ID,1586981284,81,-3.8,102.27,77.95,3.69
13,Rikitea,99,PF,1586981244,72,-23.12,-134.97,76.35,4.61
14,Chokurdakh,100,RU,1586981286,89,70.63,147.92,-6.81,7.72
15,Ushuaia,20,AR,1586981243,47,-54.8,-68.3,55.4,4.7
16,Pacifica,20,US,1586981226,37,37.61,-122.49,81.0,5.82
17,Laas,5,IT,1586981290,60,46.62,10.7,59.0,3.71
18,Bluff,56,NZ,1586981248,88,-46.6,168.33,50.0,11.01
19,Esperance,90,AU,1586981114,93,-33.87,121.9,57.2,4.7
20,Tuatapere,66,NZ,1586981293,88,-46.13,167.68,50.0,11.01
21,Włoszczowa,0,PL,1586981294,1,50.85,19.97,46.0,8.5
22,Vaini,75,TO,1586981295,94,-21.2,-175.2,73.4,3.36
23,Monaghan,19,IE,1586981296,86,54.25,-6.97,48.99,8.05
24,Hobart,75,AU,1586981193,63,-42.88,147.33,62.6,11.41
25,Puerto Ayora,40,EC,1586981299,66,-0.74,-90.35,86.0,19.46
26,San Cristobal,40,VE,1586980741,49,7.77,-72.22,89.6,10.29
27,Camacha,40,PT,1586981301,77,33.08,-16.33,60.8,13.87
28,Tura,100,IN,1586981302,80,25.52,90.22,67.48,2.48
29,Qaanaaq,73,GL,1586981303,90,77.48,-69.36,10.35,2.35
30,Mataura,55,NZ,1586981304,88,-46.19,168.86,50.0,11.01
31,Lodja,40,CD,1586981299,67,-3.48,23.43,75.72,0.58
32,Porto-Novo,0,BJ,1586981259,78,6.5,2.6,83.59,9.35
33,Cherskiy,92,RU,1586981307,91,68.75,161.3,2.52,4.05
34,Lompoc,1,US,1586980649,46,34.64,-120.46,78.8,8.05
35,Hilo,40,US,1586981309,61,19.73,-155.09,79.0,5.82
36,Westport,40,US,1586981311,20,41.14,-73.36,54.0,16.11
37,Souillac,40,MU,1586981312,74,-20.52,57.52,78.8,16.11
38,Busselton,76,AU,1586981313,62,-33.65,115.33,55.0,6.22
39,Bredasdorp,100,ZA,1586981271,82,-34.53,20.04,60.8,3.36
40,Aklavik,40,CA,1586981315,64,68.22,-135.01,39.2,2.24
41,Rio do Sul,0,BR,1586981102,36,-27.21,-49.64,77.0,1.01
42,São João da Ponte,100,BR,1586981317,77,-15.93,-44.01,69.51,1.41
43,Port Alfred,3,ZA,1586981318,94,-33.59,26.89,61.0,1.99
44,Osoyoos,20,CA,1586981320,25,49.03,-119.45,66.2,20.8
45,Vao,67,NC,1586981321,74,-22.67,167.48,74.66,14.72
46,Mahébourg,40,MU,1586981322,74,-20.41,57.7,78.8,16.11
47,Thompson,40,CA,1586981323,41,55.74,-97.86,24.8,13.87
48,Zeya,0,RU,1586980739,85,53.75,127.27,32.18,1.99
49,Altay,98,CN,1586981325,39,47.87,88.12,44.02,8.32
50,Hithadhoo,88,MV,1586981326,73,-0.6,73.08,84.36,10.67
51,Saint-Joseph,8,RE,1586981328,69,-21.37,55.62,75.2,6.93
52,Hualmay,12,PE,1586981329,61,-11.1,-77.61,78.06,8.28
53,Carnarvon,75,AU,1586981261,50,-24.87,113.63,75.2,13.87
54,Hermanus,56,ZA,1586981331,91,-34.42,19.23,60.01,2.39
55,Airai,100,TL,1586981327,77,-8.93,125.41,61.18,1.95
56,Hobyo,25,SO,1586980858,74,5.35,48.53,84.36,10.87
57,Jamestown,90,US,1586981213,71,42.1,-79.24,39.2,4.7
58,Atar,0,MR,1586980847,16,20.52,-13.05,78.19,6.55
59,Fare,32,PF,1586981336,66,-16.7,-151.02,83.66,7.65
60,Slave Lake,90,CA,1586981320,80,55.28,-114.77,33.8,5.82
61,Labuhan,34,ID,1586981339,83,-6.88,112.21,78.42,3.49
62,Torbay,90,CA,1586981116,65,47.67,-52.73,42.01,8.05
63,Los Llanos de Aridane,20,ES,1586981341,60,28.66,-17.92,69.8,5.82
64,Morgan City,1,US,1586981342,42,29.7,-91.21,69.01,13.87
65,La Ronge,75,CA,1586981343,39,55.1,-105.28,30.2,16.11
66,Kruisfontein,100,ZA,1586980804,85,-34.0,24.73,58.71,4.7
67,Hambantota,40,LK,1586981165,77,6.12,81.12,80.96,5.08
68,Ponta do Sol,75,PT,1586981246,77,32.67,-17.1,60.8,10.29
69,Phan Thiet,4,VN,1586981348,78,10.93,108.1,75.38,6.89
70,Santa Maria,0,BR,1586981349,44,-29.68,-53.81,61.59,5.5
71,Caravelas,42,BR,1586981350,82,-17.71,-39.25,79.2,8.39
72,Makakilo City,1,US,1586981223,65,21.35,-158.09,80.6,6.93
73,Albany,40,US,1586981207,31,42.6,-73.97,48.99,17.22
74,Portland,75,US,1586981343,62,45.52,-122.68,62.01,1.68
75,Ribeira Grande,40,PT,1586981264,71,38.52,-28.7,55.4,19.46
76,Dera Ghazi Khan,80,PK,1586981356,17,30.06,70.63,82.51,6.8
77,Berlevåg,20,NO,1586981357,74,70.86,29.09,30.2,25.28
78,Khatanga,0,RU,1586981358,89,71.97,102.5,-9.6,6.35
79,Iqaluit,75,CA,1586981085,62,63.75,-68.51,24.8,19.46
80,George Town,40,MY,1586981360,94,5.41,100.34,78.8,0.45
81,Muravlenko,100,RU,1586981361,98,63.79,74.52,30.63,15.43
82,Beloha,82,MG,1586981362,57,-25.17,45.05,79.03,9.17
83,Hilton Head,90,US,1586981157,82,32.22,-80.75,64.4,12.75
84,Zabul Province,100,AF,1586981365,26,32.25,67.25,51.78,5.66
85,Kidal,100,ML,1586981366,14,18.44,1.41,89.1,17.34
86,Oktyabr'skoye,96,RU,1586981367,53,43.06,44.74,50.0,4.47
87,Cuamba,0,MZ,1586981368,73,-14.8,36.54,68.95,1.7
88,Stornoway,64,GB,1586981369,93,58.21,-6.39,46.99,9.17
89,Stepnyak,88,KZ,1586981370,70,52.83,70.78,41.81,13.18
90,Antofagasta,20,CL,1586981239,68,-23.65,-70.4,68.0,13.87
91,Qasigiannguit,75,GL,1586981166,50,68.82,-51.19,30.2,4.7
92,Shenzhen,100,CN,1586981374,77,22.55,114.07,71.01,3.36
93,Salsomaggiore Terme,0,IT,1586981375,67,44.81,9.98,53.01,1.74
94,New Norfolk,75,AU,1586981376,63,-42.78,147.06,62.6,11.41
95,Oudtshoorn,99,ZA,1586981377,82,-33.59,22.2,59.0,4.7
96,Hervey Bay,21,AU,1586981378,88,-25.3,152.85,64.99,6.93
97,Geraldton,0,AU,1586981379,77,-28.77,114.6,60.8,10.29
98,Nouadhibou,5,MR,1586981380,77,20.93,-17.03,68.0,18.34
99,Dikson,62,RU,1586981381,82,73.51,80.55,4.42,5.41
100,Tasiilaq,75,GL,1586981383,80,65.61,-37.64,30.2,3.36
101,Pisco,0,PE,1586981384,30,-13.7,-76.22,75.99,13.87
102,Fukuechō,73,JP,1586981385,65,32.69,128.84,59.23,12.75
103,Pevek,100,RU,1586981386,94,69.7,170.31,8.94,2.86
104,Nuuk,75,GL,1586980641,96,64.18,-51.72,33.8,33.33
105,Miranda,75,CO,1586981181,58,3.25,-76.23,82.4,8.05
106,Lavrentiya,6,RU,1586981389,94,65.58,-171.0,26.83,1.92
107,Mossamedes,63,AO,1586981390,67,-15.2,12.15,75.74,3.02
108,East London,24,ZA,1586981221,74,-33.02,27.91,65.14,12.77
109,Provideniya,75,RU,1586981393,86,64.38,-173.3,30.2,11.18
110,Vicuña,75,CL,1586981394,63,-30.03,-70.71,64.4,11.41
111,Saint George,1,US,1586981130,18,37.1,-113.58,68.0,3.36
112,Maxixe,40,MZ,1586981396,94,-23.86,35.35,78.8,9.17
113,Barrow,90,US,1586981397,85,71.29,-156.79,19.4,21.92
114,Manakara,5,MG,1586981398,89,-22.13,48.02,73.85,3.91
115,Te Anau,63,NZ,1586981286,72,-45.42,167.72,47.41,6.49
116,Saint-Augustin,26,CA,1586981254,83,51.23,-58.65,34.25,15.99
117,Faanui,42,PF,1586981402,66,-16.48,-151.75,83.21,9.37
118,Ambilobe,7,MG,1586981403,79,-13.2,49.05,73.94,5.35
119,Kaspiysk,30,RU,1586981404,93,42.88,47.64,42.8,6.71
120,College,75,US,1586981279,60,64.86,-147.8,48.0,2.84
121,Kumul,100,CN,1586981406,25,42.8,93.45,63.93,16.82
122,Bambous Virieux,40,MU,1586981407,74,-20.34,57.76,78.8,16.11
123,Ambon City,72,ID,1586981153,75,-3.7,128.18,81.21,4.32
124,Sistranda,75,NO,1586981410,80,63.73,8.83,41.0,18.34
125,Castro,0,BR,1586981411,41,-24.79,-50.01,55.24,0.51
126,San Patricio,20,MX,1586981412,83,19.22,-104.7,80.6,11.41
127,Longyearbyen,75,SJ,1586981413,74,78.22,15.64,35.6,21.92
128,Opuwo,0,NA,1586981414,32,-18.06,13.84,70.48,3.67
129,Biak,96,ID,1586981416,72,-0.91,122.88,80.13,4.99
130,Adeje,20,ES,1586981193,64,28.12,-16.73,69.8,12.75
131,Tuktoyaktuk,40,CA,1586981418,86,69.45,-133.04,26.6,5.82
132,Half Moon Bay,20,US,1586981419,37,37.46,-122.43,81.0,5.82
133,Gaza,29,PS,1586981420,64,31.5,34.47,69.01,3.36
134,Havøysund,75,NO,1586981421,80,71.0,24.66,35.6,13.87
135,Yellowknife,75,CA,1586981337,73,62.46,-114.35,26.01,6.93
136,Inta,100,RU,1586981424,85,66.03,60.17,34.93,16.49
137,Touros,75,BR,1586981272,83,-5.2,-35.46,80.6,2.24
138,Saint Paul Harbor,90,US,1586981426,81,57.79,-152.41,44.6,6.93
139,Mahon,20,ES,1586981427,87,39.89,4.27,59.0,11.41
140,Tromsø,90,NO,1586981141,95,69.65,18.96,35.6,11.41
141,Moose Factory,20,CA,1586981429,35,51.26,-80.61,26.6,14.99
142,Hasaki,75,JP,1586981430,87,35.73,140.83,50.0,19.46
143,Severo-Kuril'sk,100,RU,1586981294,93,50.68,156.12,32.02,12.41
144,Korla,100,CN,1586981432,27,41.76,86.15,62.92,13.35
145,Lubumbashi,99,CD,1586981434,65,-11.66,27.48,64.98,2.66
146,Katsuura,92,JP,1586981435,81,35.13,140.3,53.6,21.92
147,Amahai,83,ID,1586981436,77,-3.33,128.92,78.93,3.8
148,Naze,70,JP,1586981251,63,28.37,129.48,64.4,11.41
149,Asău,4,RO,1586981438,49,46.43,26.4,48.2,1.12
150,Mergen,13,CN,1586981439,59,49.18,125.22,39.49,3.31
151,Pemberton,20,CA,1586981440,20,50.32,-122.8,57.2,5.23
152,Vardø,98,NO,1586981441,69,70.37,31.11,35.6,9.17
153,Otane,2,NZ,1586981443,62,-39.88,176.63,57.29,9.13
154,Poconé,79,BR,1586981444,64,-16.26,-56.62,79.07,5.73
155,Birao,0,CF,1586981445,13,10.28,22.79,79.39,7.07
156,Toora-Khem,97,RU,1586981446,55,52.47,96.11,39.9,1.05
157,Husavik,75,IS,1586981447,80,66.04,-17.34,33.8,5.82
158,Bethel,20,US,1586981448,26,41.37,-73.41,54.0,9.17
159,Aitape,41,PG,1586981449,84,-3.14,142.35,78.85,4.52
160,Hong Kong,94,HK,1586981439,77,22.29,114.16,71.01,3.36
161,Lüderitz,0,NA,1586981452,67,-26.65,15.16,62.6,14.99
162,Mar del Plata,20,AR,1586981453,59,-38.0,-57.56,62.6,11.41
163,Kieta,96,PG,1586981454,72,-6.22,155.63,81.93,2.13
164,Orocué,36,CO,1586981455,31,4.79,-71.34,94.87,10.76
165,Shikohabad,0,IN,1586981456,14,27.1,78.6,84.29,5.46
166,Port Elizabeth,70,ZA,1586981452,93,-33.92,25.57,55.4,3.36
167,Cabo San Lucas,5,MX,1586981226,53,22.89,-109.91,84.0,9.17
168,Chui,94,UY,1586981460,72,-33.7,-53.46,64.24,20.62
169,Atuona,69,PF,1586981263,75,-9.8,-139.03,82.74,12.17
170,Tautira,36,PF,1586981462,66,-17.73,-149.15,87.8,9.17
171,Bulgan,0,MN,1586981463,55,48.81,103.53,32.09,2.39
172,Praia,75,CV,1586981464,61,14.92,-23.51,77.0,11.41
173,Adrar,9,MR,1586981465,23,20.5,-10.07,85.62,2.73
174,Lakes Entrance,99,AU,1586981467,69,-37.88,147.98,62.94,3.47
175,Čelinac,14,BA,1586981468,65,44.72,17.33,44.6,1.12
176,Arlit,5,NE,1586981469,10,18.74,7.39,87.48,9.15
177,Kiryat Gat,42,IL,1586981470,64,31.61,34.76,69.01,3.36
178,Xingyi,0,CN,1586981471,45,24.19,102.82,56.35,4.61
179,Necochea,0,AR,1586981259,72,-38.55,-58.74,62.01,8.01
180,Zhigansk,62,RU,1586981455,92,66.77,123.37,0.18,15.61
181,Arraial do Cabo,40,BR,1586981436,69,-22.97,-42.03,80.6,6.93
182,Araouane,4,ML,1586981476,50,18.9,-3.53,75.7,7.56
183,Nurlat,100,RU,1586981477,87,54.43,50.81,37.96,20.18
184,Yekaterinovka,15,RU,1586981478,79,52.05,44.35,34.54,12.06
185,Kavaratti,85,IN,1586981294,69,10.57,72.64,84.13,3.74
186,Kushima,100,JP,1586981480,75,31.46,131.23,58.24,6.8
187,Chubbuck,75,US,1586981266,75,42.92,-112.47,42.8,9.17
188,Yumen,97,CN,1586981482,25,40.28,97.2,50.99,16.8
189,Mabay,39,PH,1586981483,76,6.06,124.47,79.02,1.7
190,Camargo,9,MX,1586981484,10,27.67,-105.17,79.66,3.87
191,Auburn,75,US,1586981320,71,47.31,-122.23,64.0,4.7
192,Roald,30,NO,1586981487,86,62.58,6.13,41.0,17.22
193,Aalen,40,DE,1586981488,37,48.84,10.09,53.01,5.82
194,Kisi,86,NG,1586981489,33,9.08,3.85,91.63,3.51
195,Paamiut,100,GL,1586981490,94,61.99,-49.67,32.74,11.23
196,Ath,21,BE,1586981491,50,50.63,3.78,57.2,5.82
197,Ostrovnoy,100,RU,1586981492,95,68.05,39.51,32.74,2.82
198,Grindavik,75,IS,1586981491,74,63.84,-22.43,39.2,14.99
199,Natal,75,BR,1586981316,83,-5.79,-35.21,80.6,2.24
200,Lázaro Cárdenas,26,MX,1586981496,41,17.96,-102.2,86.09,9.19
201,Dunedin,26,NZ,1586981301,78,-45.87,170.5,54.0,1.99
202,San Quintín,0,MX,1586981498,49,30.48,-115.95,69.42,11.1
203,Belaya Gora,100,RU,1586981499,91,68.53,146.42,-2.96,13.44
204,Kalamare,1,BW,1586981500,16,-22.93,26.57,67.3,5.93
205,Klaksvík,55,FO,1586981501,80,62.23,-6.59,41.0,19.46
206,Rabo de Peixe,20,PT,1586981502,67,37.8,-25.58,57.2,17.22
207,Kalakamati,20,BW,1586981503,64,-20.59,27.31,68.0,4.7
208,Narón,100,ES,1586981505,100,43.52,-8.15,55.0,3.36
209,Kaitangata,26,NZ,1586981506,66,-46.28,169.85,51.01,5.99
210,Vestmanna,71,FO,1586981507,80,62.16,-7.17,41.0,19.46
211,Christchurch,9,NZ,1586981267,93,-43.53,172.63,52.0,3.36
212,Padang,54,ID,1586981509,78,-0.95,100.35,78.26,4.97
213,Leningradskiy,100,RU,1586981244,94,69.38,178.42,16.81,4.85
214,Saldanha,50,ZA,1586981511,77,-33.01,17.94,60.8,6.93
215,Bathsheba,20,BB,1586981252,58,13.22,-59.52,86.0,16.11
216,Hirara,43,JP,1586981513,59,24.8,125.28,69.66,8.37
217,Wamba,2,NG,1586981348,25,8.93,8.6,86.76,1.36
218,Lebu,97,CL,1586981516,67,-37.62,-73.65,60.39,8.84
219,Lappeenranta,75,FI,1586981517,90,61.06,28.19,34.0,4.7
220,Eyl,11,SO,1586981274,77,7.98,49.82,83.03,10.8
221,Tateyama,99,JP,1586981519,81,34.98,139.87,54.0,21.92
222,Powell River,20,CA,1586981520,71,49.85,-124.54,62.6,8.05
223,Wukari,17,NG,1586981521,56,7.85,9.78,87.49,7.43
224,Sinnamary,7,GF,1586981523,70,5.38,-52.95,80.73,8.57
225,Codrington,23,AU,1586981524,91,-38.27,141.97,58.66,12.95
226,Izhma,100,RU,1586981525,88,65.01,53.91,35.01,7.43
227,Chateaubelair,20,VC,1586981526,70,13.28,-61.25,86.0,9.17
228,Sitka,90,US,1586981254,93,57.05,-135.33,44.6,4.7
229,Kirovskiy,0,RU,1586981528,76,45.09,133.51,34.75,3.31
230,Sulangan,65,PH,1586981529,78,11.14,123.72,81.32,6.71
231,Shimoda,100,JP,1586981531,59,34.67,138.95,50.0,10.45
232,Lexington,1,US,1586981453,34,37.99,-84.48,57.2,21.92
233,Naples,0,IT,1586981454,37,40.83,14.25,59.0,3.36
234,Carutapera,100,BR,1586981396,83,-1.2,-46.02,79.92,5.48
235,Mitsamiouli,68,KM,1586981535,76,-11.38,43.28,83.52,13.22
236,Bonavista,100,CA,1586981261,88,48.65,-53.11,35.01,5.01
237,Liku,100,ID,1586981537,81,-0.73,119.89,76.44,2.89
238,Umluj,0,SA,1586981487,50,25.02,37.27,74.23,8.55
239,Campos Altos,98,BR,1586981539,69,-19.7,-46.17,66.94,1.03
240,Salalah,40,OM,1586981279,74,17.02,54.09,82.4,5.82
241,Skibbereen,20,IE,1586981542,61,51.55,-9.27,46.4,4.7
242,Poum,18,NC,1586981543,77,-20.23,164.02,78.58,13.38
243,Hammerfest,75,NO,1586981544,74,70.66,23.68,33.8,12.75
244,Kudahuvadhoo,87,MV,1586981545,65,2.67,72.89,85.06,1.9
245,Tongchuanshi,54,CN,1586981546,26,35.08,109.09,55.38,10.07
246,Waitati,30,NZ,1586981547,68,-45.75,170.57,54.0,13.0
247,Tessalit,100,ML,1586981256,22,20.2,1.01,83.55,6.78
248,Gurupá,74,BR,1586981549,83,-1.41,-51.64,79.34,2.51
249,São Filipe,93,CV,1586981550,76,14.9,-24.5,72.79,15.57
250,Shingū,100,JP,1586981253,49,33.73,135.98,53.87,5.53
251,Srednekolymsk,39,RU,1586981553,91,67.45,153.68,-2.24,10.94
252,Rafsanjān,67,IR,1586981554,34,30.41,55.99,60.39,8.79
253,Macaé,40,BR,1586981555,69,-22.37,-41.79,80.6,6.93
254,Richmond,40,US,1586981556,34,37.55,-77.46,55.99,4.7
255,Dāmghān,26,IR,1586981557,38,36.17,54.35,53.1,4.47
256,Cidreira,49,BR,1586981558,58,-30.18,-50.21,67.57,19.69
257,Chanika,94,TZ,1586981559,82,-5.42,38.02,68.56,2.84
258,Douentza,28,ML,1586981560,45,15.0,-2.95,77.27,12.91
259,Montepuez,12,MZ,1586981562,86,-13.13,39.0,68.52,3.42
260,Baghdad,0,IQ,1586981355,28,33.34,44.4,68.0,6.93
261,Derzhavīnsk,85,KZ,1586981564,57,51.1,66.32,46.11,13.91
262,Uvalde,1,US,1586981565,42,29.37,-99.77,72.0,5.82
263,Bandarbeyla,3,SO,1586981566,76,9.49,50.81,82.17,8.48
264,Gejiu,21,CN,1586981567,55,23.31,103.16,54.34,4.14
265,Coquimbo,75,CL,1586981498,63,-29.95,-71.34,64.4,11.41
266,Mumford,47,GH,1586981570,82,5.26,-0.76,82.74,6.82
267,Frontera,75,MX,1586981571,62,26.93,-101.45,66.0,6.67
268,Raudeberg,40,NO,1586981572,87,61.99,5.14,44.6,18.34
269,Apatzingán,40,MX,1586981573,30,19.08,-102.35,80.6,6.93
270,Shatsk,52,RU,1586981574,84,54.03,41.71,33.66,10.8
271,Trussville,20,US,1586981304,26,33.62,-86.61,64.0,8.05
272,Upernavik,23,GL,1586981461,89,72.79,-56.15,18.86,8.97
273,Diapaga,30,BF,1586981577,18,12.07,1.79,93.69,4.07
274,Boyabat,100,TR,1586981340,70,41.47,34.77,48.81,4.5
275,Amarillo,1,US,1586981464,25,35.22,-101.83,66.2,14.99
